ID,Protected_Area,Violation_Type,Year,Season,Area_m2,Distance_To_Road_km,Distance_To_Urban_km,Fine_Amount,Risk_Level
253,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2006,Spring,1816,14.7,42.7,30000,Medium
254,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2002,Autumn,86571,11.8,9.2,246553,High
255,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2006,Autumn,22014,0.6,32.5,871964,High
256,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2001,Autumn,1468,11.9,25.3,30000,Medium
257,الإمام تركي,حرق النباتات أو الأشجار,2016,Summer,4229,8.6,36.2,20000,Medium
258,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2006,Winter,2849,14.5,29.3,20000,Medium
259,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2006,Autumn,78379,7.4,17.8,155282,High
260,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2007,Spring,69315,1.5,32.4,991753,High
261,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2001,Spring,78794,13.4,49.7,357257,High
262,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2004,Winter,14686,11.7,5.3,293485,High
263,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2024,Summer,312,10.8,5.7,100,Low
264,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2018,Autumn,154,18.6,12.5,3919,Low
265,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2021,Spring,67711,13.5,5.6,1755259,High
266,الملك عبدالعزيز,حرق النباتات أو الأشجار,2013,Autumn,1512,15.7,35.7,20000,Medium
267,روضة التنهات,حرق النباتات أو الأشجار,2000,Summer,2101,7.0,12.7,20000,Medium
268,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2010,Summer,47685,10.4,46.1,28073,High
269,الملك خالد,سير المركبات في غير المسارات المخصصة,2017,Winter,110,18.6,6.7,8635,Low
270,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2006,Autumn,225,14.5,7.9,200,Low
271,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2019,Spring,4994,13.9,18.0,47484,Low
272,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2013,Winter,2485,17.3,46.2,30000,Medium
273,الملك خالد,ترك أو رمي النفايات غير الخطرة,2024,Winter,319,10.1,20.5,9429,Low
274,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2012,Summer,22347,1.7,39.1,197992,High
275,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2001,Autumn,57188,0.1,1.9,65099,High
276,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2010,Spring,76966,3.9,11.4,89922,High
277,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2020,Winter,65,8.7,9.4,100,Low
278,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2003,Summer,380,13.9,31.3,200,Low
279,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2006,Spring,48108,12.5,26.8,432387,High
280,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2021,Spring,37371,4.0,19.0,67022,High
281,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2005,Summer,81373,2.8,21.5,1914260,Medium
282,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2020,Winter,1400,0.3,12.8,30000,Medium
283,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2020,Autumn,58420,2.3,27.9,666031,High
284,الملك عبدالعزيز,حرق النباتات أو الأشجار,2007,Summer,3057,6.6,37.1,20000,Medium
285,روضة التنهات,التخييم في المحمية بدون ترخيص,2016,Autumn,445,19.1,7.5,3693,Low
286,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2007,Winter,1071,16.8,2.9,4631,Medium
287,الملك عبدالعزيز,دخول المحمية بدون تصريح,2014,Winter,256,17.9,32.2,5000,Low
288,الملك عبدالعزيز,حرق النباتات أو الأشجار,2022,Winter,1355,2.2,49.4,20000,Medium
289,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2004,Autumn,209,1.5,1.6,3656,Low
290,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2018,Summer,4397,19.8,48.6,20000,Medium
291,الإمام تركي,سير المركبات في غير المسارات المخصصة,2005,Summer,60,15.3,14.0,9164,Low
292,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2001,Summer,229,15.4,31.6,8504,Low
293,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2025,Summer,82360,15.5,32.6,232051,High
294,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2001,Spring,379,2.6,24.2,100,Low
295,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2009,Summer,44071,12.4,8.7,122990,High
296,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2025,Winter,2730,7.6,28.0,20000,Medium
297,الملك خالد,قطع الأشجار أو الاحتطاب,2013,Winter,4583,2.5,10.7,20000,Medium
298,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2008,Summer,82794,17.2,42.5,302985,High
299,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2006,Summer,33044,16.9,36.7,1557261,High
300,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2012,Spring,212,5.5,27.4,9789,Low
301,الملك خالد,التخييم في المحمية بدون ترخيص,2022,Autumn,222,19.3,24.9,4758,Low
302,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2021,Summer,287,14.9,31.0,3954,Low
303,الإمام تركي,التخييم في المحمية بدون ترخيص,2007,Spring,39,17.6,22.3,6126,Low
304,الملك خالد,ترك أو رمي النفايات غير الخطرة,2002,Autumn,81,17.6,14.6,7272,Low
305,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2001,Winter,4062,14.9,40.9,30000,Medium
306,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2011,Winter,402,17.0,42.2,2747,Low
307,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2018,Summer,130,7.4,17.0,200,Low
308,الإمام تركي,قطع الأشجار أو الاحتطاب,2003,Autumn,4395,2.6,19.9,20000,Medium
309,الملك خالد,إشعال النار في غير الأماكن المخصصة,2007,Summer,1513,7.9,21.2,20000,Medium
310,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2016,Summer,2585,3.7,20.0,30000,Medium
311,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2003,Autumn,41060,11.6,28.5,79122,High
312,الملك خالد,إشعال النار في غير الأماكن المخصصة,2018,Winter,661,12.1,2.1,20000,Medium
313,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2005,Winter,220,6.8,39.5,200,Low
314,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2000,Spring,15258,2.5,37.0,67775,High
315,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2021,Winter,55288,15.4,36.9,94730,High
316,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2014,Spring,50253,3.6,34.6,1874059,High
317,الملك عبدالعزيز,دخول المحمية بدون تصريح,2009,Spring,368,11.8,10.0,5000,Low
318,الإمام تركي,التخييم في المحمية بدون ترخيص,2018,Winter,116,14.0,46.6,6597,Low
319,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2004,Autumn,1046,17.5,42.3,30000,Medium
320,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2006,Spring,30279,12.7,3.4,262164,High
321,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2024,Summer,7839,3.3,30.9,73920,High
322,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2002,Summer,1931,5.7,13.8,20000,Medium
323,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2024,Winter,129,7.5,22.0,200,Low
324,الملك خالد,سير المركبات في غير المسارات المخصصة,2003,Spring,338,18.1,7.8,5547,Medium
325,روضة التنهات,دخول المحمية بدون تصريح,2010,Autumn,16,4.8,36.9,5000,Low
326,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2013,Winter,441,1.1,21.5,100,Low
327,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2018,Summer,4152,4.0,28.7,30000,Medium
328,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2003,Summer,34055,2.4,8.4,315035,High
329,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2025,Summer,1097,19.6,12.1,20446,Medium
330,روضة التنهات,حرق النباتات أو الأشجار,2001,Winter,4169,12.3,12.1,20000,Medium
331,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2015,Summer,88457,13.4,23.7,548645,High
332,روضة التنهات,حرق النباتات أو الأشجار,2009,Summer,3657,15.8,6.5,20000,Medium
333,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2003,Spring,15800,17.5,27.7,87823,High
334,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2008,Autumn,3291,17.6,43.7,20000,Medium
335,الملك خالد,سير المركبات في غير المسارات المخصصة,2011,Winter,35,2.0,17.8,5176,High
336,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2010,Summer,23658,9.1,20.5,31253,High
337,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2008,Autumn,99986,2.0,18.5,183623,High
338,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2017,Spring,12239,4.0,45.0,278854,High
339,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2017,Summer,90445,17.2,45.4,90257,High
340,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2015,Summer,3476,0.8,18.8,20000,Medium
341,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2010,Spring,44901,17.2,6.8,21205,High
342,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2001,Autumn,138,2.5,36.5,9766,Low
343,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2024,Summer,2029,3.3,1.6,20000,Medium
344,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2008,Autumn,97051,14.7,10.2,165289,High
345,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2011,Autumn,5645,19.8,45.2,212002,High
346,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2015,Winter,86623,17.6,26.7,318449,High
347,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2008,Summer,1741,4.9,8.0,20000,Medium
348,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2004,Autumn,75969,12.5,18.3,83866,High
349,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2001,Spring,280,0.7,37.2,200,Low
350,الإمام تركي,إشعال النار في غير الأماكن المخصصة,2000,Autumn,2795,3.6,42.9,20000,Medium
351,الإمام تركي,حرق النباتات أو الأشجار,2005,Summer,1139,13.9,26.1,20000,Medium
352,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2011,Winter,76906,13.1,47.0,1985608,High
353,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2022,Summer,4438,13.1,43.8,30516,Medium
354,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2018,Spring,20223,7.7,7.3,183669,High
355,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2015,Winter,93,18.4,14.7,200,Medium
356,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2012,Summer,444,14.0,42.1,200,Low
357,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2014,Autumn,82,16.6,14.8,100,Low
358,الملك خالد,إشعال النار في غير الأماكن المخصصة,2008,Autumn,1433,1.5,13.9,20000,Medium
359,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2003,Autumn,2262,14.6,30.3,20000,Medium
360,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2022,Autumn,86768,17.9,10.1,418252,High
361,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2013,Spring,378,8.6,14.1,200,Low
362,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2000,Winter,158,16.6,30.3,100,Low
363,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2000,Autumn,4016,16.6,44.1,31600,Medium
364,روضة التنهات,حرق النباتات أو الأشجار,2008,Summer,1947,8.7,38.9,20000,Medium
365,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2018,Autumn,93668,9.0,39.7,155639,High
366,الإمام تركي,حرق النباتات أو الأشجار,2021,Autumn,2895,7.8,24.9,20000,Medium
367,الملك خالد,إشعال النار في غير الأماكن المخصصة,2005,Spring,1685,19.7,14.2,20000,Medium
